2	92	4
27	124	1
13	169	2
69	69	0
1	7	2
1	30	4
1	60	5
1	71	5
54	54	0
12	82	2
5	107	3
35	99	1
2	54	4
1	148	5
13	92	2
48	48	0
33	33	0
16	171	2
171	171	0
34	93	1
123	123	0
5	164	3
5	28	2
1	178	5
5	69	3
33	151	1
80	80	0
150	150	0
25	25	0
4	183	3
12	63	2
1	101	5
2	141	4
5	126	3
5	137	3
3	171	4
5	148	3
2	152	4
11	121	2
1	140	5
13	32	1
44	44	0
12	131	2
23	51	1
12	142	2
13	150	2
10	48	2
13	161	2
1	52	5
1	63	5
2	103	4
5	88	3
5	99	3
3	44	3
2	12	2
19	19	0
26	59	1
28	63	1
1	41	4
17	44	1
2	182	4
5	156	3
34	96	1
5	167	3
2	65	4
5	61	3
22	57	1
1	159	5
136	136	0
13	103	2
1	53	5
2	26	3
73	73	0
3	45	3
12	66	2
2	122	4
30	30	0
4	58	3
7	43	2
5	129	3
2	133	4
31	79	1
2	144	4
1	121	5
1	132	5
13	35	1
5	157	3
4	19	2
96	96	0
12	123	2
30	139	1
1	10	3
5	5	0
5	80	3
2	106	4
2	84	4
2	95	4
182	182	0
1	72	5
1	83	5
1	94	5
2	34	3
5	30	2
29	131	1
32	168	1
1	22	4
1	33	4
1	44	4
12	74	2
3	14	2
10	20	1
27	61	1
2	163	4
67	67	0
2	46	4
2	57	4
2	68	4
1	151	5
129	129	0
13	106	2
4	4	0
13	84	2
13	95	2
2	18	3
35	159	1
3	37	3
86	86	0
25	184	1
5	31	2
2	125	4
23	23	0
33	154	1
21	46	1
13	163	2
31	82	1
121	121	0
1	102	5
5	140	3
3	174	4
140	140	0
42	176	1
1	13	3
2	76	4
1	181	5
2	87	4
175	175	0
12	134	2
13	164	2
1	25	4
1	55	5
1	66	5
5	91	3
36	102	1
5	102	3
16	37	1
2	49	4
13	87	2
11	25	1
28	66	1
72	72	0
2	185	4
5	159	3
107	107	0
1	162	5
92	92	0
21	49	1
17	176	2
126	126	0
32	84	1
71	71	0
2	136	4
5	132	3
1	85	5
1	96	5
161	161	0
1	124	5
146	146	0
7	175	3
12	126	2
12	137	2
16	174	2
10	54	2
13	145	2
13	156	2
46	46	0
125	125	0
11	184	2
1	47	5
1	58	5
5	72	3
5	83	3
5	94	3
2	98	4
28	126	1
1	86	5
11	58	2
1	36	4
172	172	0
65	65	0
12	77	2
3	17	2
5	151	3
2	155	4
2	166	4
100	100	0
12	27	1
2	60	4
29	68	1
1	143	5
1	154	5
13	98	2
1	165	5
1	48	5
57	57	0
3	40	3
42	42	0
119	119	0
1	77	5
2	128	4
2	139	4
4	53	3
7	38	2
10	23	1
13	155	2
1	105	5
33	89	1
174	174	0
21	21	0
159	159	0
29	69	1
111	111	0
17	17	0
4	121	3
1	16	3
31	142	1
2	79	4
1	173	5
1	184	5
5	64	3
5	75	3
2	90	4
51	51	0
1	67	5
1	78	5
2	29	3
75	75	0
19	181	1
1	28	4
165	165	0
12	69	2
12	80	2
36	105	1
2	147	4
2	158	4
30	74	1
12	30	1
2	52	4
1	135	5
1	146	5
13	90	2
13	101	2
4	22	2
50	50	0
7	177	3
22	22	0
2	120	4
33	149	1
4	11	1
7	7	0
34	157	1
10	56	2
13	158	2
1	97	5
97	97	0
16	40	1
167	167	0
82	82	0
4	181	3
5	124	3
76	76	0
2	71	4
2	82	4
61	61	0
7	178	3
151	151	0
2	21	3
12	129	2
9	170	1
3	6	1
10	46	2
13	148	2
1	20	4
1	50	5
12	61	2
1	1	0
5	34	2
1	61	5
5	86	3
30	77	1
178	178	0
2	10	2
84	84	0
36	36	0
115	115	0
4	55	3
32	106	1
2	169	4
5	143	3
5	154	3
36	165	1
5	165	3
29	71	1
22	55	1
32	145	1
1	157	5
2	101	4
138	138	0
10	182	2
13	167	2
1	5	2
1	39	4
1	80	5
2	131	4
1	91	5
47	47	0
7	41	2
17	42	1
4	56	3
117	117	0
35	97	1
5	105	3
33	92	1
30	135	1
26	26	0
13	151	2
10	49	2
164	164	0
38	172	1
2	93	4
1	176	5
5	67	3
5	78	3
101	101	0
17	179	2
2	32	3
184	184	0
29	129	1
4	47	3
12	72	2
2	150	4
5	135	3
5	146	3
2	161	4
163	163	0
1	138	5
1	149	5
13	93	2
4	25	2
12	140	2
103	103	0
55	55	0
2	123	4
5	97	3
40	40	0
4	48	3
10	18	1
1	100	5
5	136	3
39	173	1
95	95	0
2	180	4
34	94	1
157	157	0
1	11	3
2	63	4
1	179	5
5	70	3
2	74	4
1	168	5
2	85	4
1	62	5
114	114	0
2	24	3
2	35	3
29	132	1
3	43	3
32	147	1
11	11	0
1	23	4
12	64	2
149	149	0
12	75	2
2	142	4
5	127	3
134	134	0
2	47	4
1	130	5
1	141	5
13	33	1
13	85	2
5	166	3
28	64	1
35	160	1
12	132	2
34	34	0
23	52	1
30	137	1
7	172	3
2	104	4
109	109	0
5	89	3
21	47	1
13	153	2
10	51	2
1	92	5
1	103	5
53	53	0
143	143	0
1	31	4
1	42	4
35	100	1
88	88	0
7	44	2
17	45	1
26	185	1
2	55	4
2	66	4
1	160	5
13	104	2
122	122	0
30	138	1
16	172	2
5	29	2
142	142	0
36	103	1
33	152	1
43	177	1
31	80	1
20	20	0
99	99	0
4	50	3
4	184	3
3	15	2
5	138	3
5	149	3
2	153	4
2	164	4
39	39	0
168	168	0
74	74	0
153	153	0
12	143	2
13	162	2
59	59	0
1	64	5
1	75	5
29	134	1
5	100	3
10	21	1
93	93	0
2	13	2
33	87	1
38	38	0
176	176	0
128	128	0
16	175	2
2	183	4
113	113	0
5	168	3
31	140	1
5	32	2
1	171	5
1	182	5
5	62	3
5	73	3
2	77	4
85	85	0
155	155	0
147	147	0
70	70	0
2	27	3
13	13	0
12	67	2
2	134	4
5	130	3
5	141	3
3	175	4
2	145	4
2	156	4
1	133	5
32	32	0
13	36	1
139	139	0
5	169	3
4	20	2
7	16	1
35	161	1
7	173	3
1	8	1
2	4	1
12	124	2
12	135	2
1	56	5
118	118	0
5	81	3
2	107	4
5	92	3
24	24	0
34	155	1
2	96	4
5	103	3
1	95	5
9	9	0
16	38	1
11	26	1
1	34	4
1	45	4
3	3	0
5	160	3
27	62	1
141	141	0
2	58	4
1	174	5
78	78	0
26	120	1
17	177	2
1	57	5
